0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.3_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,4,1,4,3,3,10,0,8,10,10,6,4,3,10,5,0.0,0.0,141847108.73659444,0.00413963057047104,5784040.691863986,222514623.41904962,0.035279535574392985,27667024.67536785,95135680.33311044,943300000.0,0.0
0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,3,1,3,7,4,4,9,4,3,10,5,4,6,0,5,0.0,0.0,126829027.92959374,0.0,0.0,218040838.5480165,0.0,0.0,113787946.48196736,613800000.0,0.0
1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,3,3,8,10,7,3,9,10,0,0,7,3,5,4,2,7,0.0,0.0,264317635.2211393,0.0,0.0,259773531.20748788,0.0,0.0,44215020.369581826,958900000.0,749.1834960155219
1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,4,0,0,4,6,1,0,5,4,6,7,1,0,9,1,2,0.0,0.0,47847947.961454235,0.0,0.0,112832601.01821715,0.0,0.0,102517708.71215674,877900000.0,0.0
0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,5,5,0,4,5,6,3,4,0,6,4,6,4,6,8,0.0,0.0,117818559.7239252,0.0015733491914276363,5949066.065025832,210680621.06757158,0.014826682605419882,30555084.320877023,53401633.19836887,1480600000.0,609.1482862503354
1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4,5,0,4,8,4,3,5,10,0,7,8,5,6,9,2,0.0,0.0,110573595.57493308,0.0,0.0,222693098.55004936,0.001912538945472515,11475060.821213279,81101963.466326,860900000.0,431.2664063345254
0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,9,2,0,1,2,3,2,10,0,10,2,2,10,9,8,0.0,0.0,135674464.19102705,0.020744999315409997,29631769.45028145,135443356.13579214,0.0,0.0,69456196.27730663,1251600000.0,0.0
0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,6,9,7,9,4,3,0,2,3,8,2,3,1,0.0,0.0,131444749.25204396,0.0,0.0,343252034.9621827,0.0003711950653504287,756640.8562912726,54082305.45306664,1170600000.0,106.97394954948514
0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,2,7,4,1,5,4,8,0,5,1,1,8,7,0,0.0028122723177455575,5884962.815092914,110130504.5881955,0.005294150755490981,7213603.362911925,167383652.40335083,0.0,0.0,69051880.14680123,1099700000.0,0.0
0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,8,9,1,2,1,3,3,0,7,7,7,2,10,7,10,0.0,0.0,245741152.09424978,0.02877721572411636,40432716.384865075,136638608.13374585,0.01821949842319207,13555167.582387889,62048975.90137317,1051100000.0,0.0
0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,7,2,8,0,0,6,0,9,3,3,3,6,3,6,0.0,0.0,115272862.040791,0.0,0.0,81277411.11097889,0.0,0.0,81078228.60264628,1043500000.0,0.0
0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,7,6,0,3,9,5,0,3,2,7,2,4,5,5,4,0.0,0.0,144956226.29360634,0.00413963057047104,5784040.691863986,236292372.12645143,0.035279535574392985,27667024.67536785,48716867.66610375,943300000.0,0.0
0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,6,4,4,1,0,6,4,3,4,10,4,7,0.0,0.0,66507014.9338145,0.0,0.0,205988505.91332737,0.07642305466529206,58341621.73726697,52771009.1301844,1118400000.0,0.0
0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,6,4,0,0,5,0,9,0,3,3,9,2,9,0.0,0.0,95486976.46933737,0.006218730006714238,8513551.91820611,53358573.6002109,0.0,0.0,76836330.72054233,702800000.0,0.0
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,5,4,5,2,0,0,6,6,5,0,2,3,9,3,0,0.0,0.0,183603921.04028857,0.03372332541144925,47556530.5030477,42818415.6714978,0.0,0.0,112910645.1005051,654200000.0,0.0
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,4,7,1,7,4,4,8,2,9,0.0004511013532649069,2622152.707311044,66507014.9338145,0.04730475373164191,189477600.18064708,77797112.44472042,0.0,0.0,94923950.62609406,679700000.0,3788.2540999213156
1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,3,5,0,0,6,1,3,10,10,4,8,4,6,5,6,6,0.0,0.0,53972506.18695759,0.0,0.0,173361355.75588888,0.0,0.0,157788593.75319535,862300000.0,47.81584212989415
1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,9,4,3,5,7,3,3,0,6,6,10,5,5,7,2,0.0,0.0,215464061.7912341,0.0007752528932222309,2895463.581860725,217739313.15848744,0.03029188749517891,61838445.04120043,58926842.49039639,885500000.0,1043.8953798547868
