0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.3_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,RfR Total Costs,Expected Evacuation Costs
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,2,7,2,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41292219.28177295,432800000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,6,7,0,10,4,5,0.0,0.0,42291505.65437629,0.009067007012168825,10770043.246504102,53358573.0,0.0062582431031998585,3932240.491628929,20299287.62732069,0.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,0,7,0,0,0,0,0,0,3,0,2,6,3,5,0.0,0.0,103162272.08375776,0.0,0.0,0.0,0.0,0.0,0.0,92100000.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,3,4,2,6,5,1,0.0,0.0,66507014.9338145,0.0,0.0,0.0,0.0,0.0,20299287.62732069,92100000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,2,1,4,5,2,0.0,0.0,0.0,0.0,0.0,47842699.56310011,0.018774729309599576,11796721.474886786,20299287.62732069,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,1,3,4,5,4,7,0.0,0.0,82486364.32617709,0.009067007012168825,10770043.246504102,47842699.56310011,0.06573665503048845,41936137.20462406,0.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,3,4,2,2,0.0,0.0,0.0,0.005211056630899173,6153869.497370499,0.0,0.0,0.0,20299287.0,30700000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,3,5,0.0,0.0,0.0,0.005211056630899173,6153869.497370499,0.0,0.0181860882820448,11585409.415509012,0.0,30700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,3,1,1,1,5,5,2,0.0,0.0,32694901.094161935,0.0008001162711420771,6230797.509217683,38245121.0,0.0,0.0,48047840.0,0.0,230.04970859228754
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,3,5,4,2,5,5,0.0,0.0,32694901.094161935,0.0008001162711420771,6230797.509217683,38245121.0,0.0075626205507658755,32009849.374479514,20299287.0,0.0,1188.3564793322998
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,3,4,7,4,2,3,0.0,0.0,0.0,0.0,0.0,73315450.0,0.018774729309599576,11796721.474886786,20299287.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,1,0,0,4,4,9,1,4,0.0,0.0,76431543.68310125,0.0019202790507409848,6230797.509217683,38245121.0,0.012454595936646974,21903285.42468315,20299287.0,0.0,532.3522820163715
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,7,4,3,6,0,1,0.0,0.0,0.0,0.004533503506084413,5385021.623252051,53358573.0,0.012516486206399717,7864480.983257858,20299287.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,4,9,6,0,3,0.0,0.0,0.0,0.003474037753932782,4102579.664913666,38245121.0,0.0,0.0,20299287.0,30700000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,2,0,0,7,5,6,0.0,0.0,42291505.65437629,0.0,0.0,38245121.0,0.0,0.0,20299287.0,30700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,3,0.0,0.0,0.0,0.013600510518253239,16155064.869756153,0.0,0.06548556211930318,41845999.144798145,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,3,6,2,5,0.0,0.0,0.0,0.008089575822271421,9538886.629397172,38245121.0,0.05016637742725391,31919711.314653605,20299287.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,7,4,5,6,2,0.0,0.0,0.0,0.0,0.0,47842699.0,0.018150289321838098,32009849.374479514,20299287.0,0.0,577.2389019045721
